"","xdist","tdist","lambda","slope_theta","t1","t2","t3","t4"
"31",3,4,0.5,0.577350269189626,0.579291399261583,NA,NA,NA
"32",3,4,0.8,1.33333333333333,0.614358619282291,NA,NA,NA
"33",3,5,0.5,0.577350269189626,0.578941890049391,NA,NA,NA
"34",3,5,0.8,1.33333333333333,0.721587493952042,NA,NA,NA
"35",3,6,0.5,0.577350269189626,0.545738795285843,NA,NA,NA
"36",3,6,0.8,1.33333333333333,0.496759772022452,NA,NA,NA
"37",4,1,0.5,0.577350269189626,0.971820491518054,NA,NA,NA
"38",4,1,0.8,1.33333333333333,1.40270205595486,NA,NA,NA
"39",4,2,0.5,0.577350269189626,0.978563964764642,NA,NA,NA
"40",4,2,0.8,1.33333333333333,1.48318617620339,NA,NA,NA
"41",4,3,0.5,0.577350269189626,0.960468055648267,NA,NA,NA
"42",4,3,0.8,1.33333333333333,1.32062725407774,NA,NA,NA
"43",4,4,0.5,0.577350269189626,0.964460764236289,NA,NA,NA
"44",4,4,0.8,1.33333333333333,1.39586845787075,NA,NA,NA
"45",4,5,0.5,0.577350269189626,0.950481205938996,NA,NA,NA
"46",4,5,0.8,1.33333333333333,1.27465210759535,NA,NA,NA
"47",4,6,0.5,0.577350269189626,0.920849637604724,NA,NA,NA
"48",4,6,0.8,1.33333333333333,1.04966980065574,NA,NA,NA
"49",5,1,0.5,0.577350269189626,1.47980828269512,NA,NA,NA
"50",5,1,0.8,1.33333333333333,2.13591927590767,NA,NA,NA
"51",5,2,0.5,0.577350269189626,1.48517216775854,NA,NA,NA
"52",5,2,0.8,1.33333333333333,2.18432526328009,NA,NA,NA
"53",5,3,0.5,0.577350269189626,1.46775991488181,NA,NA,NA
"54",5,3,0.8,1.33333333333333,2.04556610666902,NA,NA,NA
"55",5,4,0.5,0.577350269189626,1.51077606594596,NA,NA,NA
"56",5,4,0.8,1.33333333333333,2.51962824525577,NA,NA,NA
"57",5,5,0.5,0.577350269189626,1.47825452022239,NA,NA,NA
"58",5,5,0.8,1.33333333333333,2.11345919678859,NA,NA,NA
"59",5,6,0.5,0.577350269189626,1.47235541095164,NA,NA,NA
"60",5,6,0.8,1.33333333333333,2.06029583315332,NA,NA,NA
"61",6,1,0.5,0.577350269189626,-1.89596259118499,-0.741447899035478,0.741447899035478,1.89596259118499
"62",6,1,0.8,1.33333333333333,-2.73658628098528,-1.07018786024554,1.07018786024554,2.73658628098528
"63",6,2,0.5,0.577350269189626,-1.89636430772999,-0.747449032976943,0.747560322601783,1.89647539437105
"64",6,2,0.8,1.33333333333333,-2.71886342200302,-1.14578869299219,1.14587336366697,2.71887641272569
"65",6,3,0.5,0.577350269189626,-1.88847520455756,-0.732363984175169,0.731929990344174,1.88848781935732
"66",6,3,0.8,1.33333333333333,-2.67654888866591,-1.00292688068951,1.00243941025047,2.67702028239829
"67",6,4,0.5,0.577350269189626,-1.83532794633531,-0.75865959876755,0.721219203332175,1.96271169659264
"68",6,4,0.8,1.33333333333333,-2.28668450054216,-1.1458278413818,0.880440264375954,3.2288942816008
"69",6,5,0.5,0.577350269189626,-1.85033508291792,-0.746262854816512,0.716013097595265,1.92563844844686
"70",6,5,0.8,1.33333333333333,-2.47394492510859,-1.08569965822995,0.922627613598816,2.88594969739537
"71",6,6,0.5,0.577350269189626,-1.80231761207254,-0.746299404987279,0.683140617372166,1.96328614883586
"72",6,6,0.8,1.33333333333333,-2.17189086533782,-1.04797414936344,0.690022817950694,3.16163892012174
"73",7,1,0.5,0.577350269189626,-1.89931336859593,-1.19677019284271,1.19677019284271,1.89931336859593
"74",7,1,0.8,1.33333333333333,-2.74142271158579,-1.72738898248965,1.72738898248965,2.74142271158579
"75",7,2,0.5,0.577350269189626,-1.89966569374733,-1.20368367304851,1.20355622220122,1.89977944100548
"76",7,2,0.8,1.33333333333333,-2.72301346274723,-1.80076743847426,1.80076226475918,2.72307198667261
"77",7,3,0.5,0.577350269189626,-1.89188446304342,-1.18458616648204,1.18443079342358,1.89192887618372
"78",7,3,0.8,1.33333333333333,-2.68185094125841,-1.63697078312628,1.63687072594764,2.68226986810721
"79",7,4,0.5,0.577350269189626,-1.83841307250624,-1.18856773944784,1.20524560768522,1.96635970410757
"80",7,4,0.8,1.33333333333333,-2.28989925720889,-1.61024286616719,1.92483712076671,3.2340214723363
"81",7,5,0.5,0.577350269189626,-1.85349380231664,-1.18445472930818,1.18215672017565,1.92930614108717
"82",7,5,0.8,1.33333333333333,-2.4778268940409,-1.64511604765182,1.63410367695656,2.89251366559471
"83",7,6,0.5,0.577350269189626,-1.80533367752203,-1.1661916507774,1.15982923320482,1.96743579729067
"84",7,6,0.8,1.33333333333333,-2.17507593727183,-1.50155976477966,1.4535068457154,3.17123173065351
"85",8,1,0.5,0.577350269189626,0.164084434964304,1.00395659004281,1.50516608352261,1.92091588573202
"86",8,1,0.8,1.33333333333333,0.236835481741171,1.44908651878979,2.17252010874218,2.77260325929503
"87",8,2,0.5,0.577350269189626,0.165845507523364,1.01074983897425,1.5103355972674,1.92098566102373
"88",8,2,0.8,1.33333333333333,0.258728274146399,1.52927648935945,2.21778004806492,2.74981456818878
"89",8,3,0.5,0.577350269189626,0.161481919253496,0.992390779490147,1.49329246869324,1.91400793568474
"90",8,3,0.8,1.33333333333333,0.220163600049642,1.36541563898417,2.08282992674806,2.7163289756503
"91",8,4,0.5,0.577350269189626,0.127474434763778,0.998655048337887,1.53831104863166,1.98978042937152
"92",8,4,0.8,1.33333333333333,-0.0826460763973141,1.47208745901527,2.56788113749354,3.26688972224851
"93",8,5,0.5,0.577350269189626,0.138518903063759,0.983431128780635,1.50506381727341,1.95294227307967
